Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock,Stock Splits
2024-12-05,ASML.AS,679.8268803292834,691.6013541777334,669.249824020361,677.7314453125,774846,0.0,,0.0
2024-12-06,ASML.AS,673.7401134507201,677.1327255230229,668.8506837336639,676.1348876953125,519724,0.0,,0.0
2024-12-09,ASML.AS,676.0351218894675,682.1219082197437,666.8550017805894,673.54052734375,588633,0.0,,0.0
2024-12-10,ASML.AS,671.1457229142003,681.1241015534432,667.4537715402324,668.8507080078125,608574,0.0,,0.0
2024-12-11,ASML.AS,670.547008004037,680.6251455190135,669.3495904519639,676.8333740234375,515977,0.0,,0.0
2024-12-12,ASML.AS,677.7314600966035,684.6165045185018,672.742270992393,681.8225708007812,526406,0.0,,0.0
2024-12-13,ASML.AS,680.5253860360405,689.6056857406426,680.2260468738467,686.2130737304688,761756,0.0,,0.0
2024-12-16,ASML.AS,682.0221807790357,689.8053039459859,678.7293280049249,686.512451171875,732844,0.0,,0.0
2024-12-17,ASML.AS,682.5210722264364,712.3564475519958,682.5210722264364,701.879150390625,1079398,0.0,,0.0
2024-12-18,ASML.AS,704.6731085929569,720.4389345931667,700.881336907315,715.7490844726562,844527,0.0,,0.0
2024-12-19,ASML.AS,696.3910819862224,699.2847753011818,683.9181084652139,689.306396484375,962825,0.0,,0.0
2024-12-20,ASML.AS,682.3215012671131,685.4148351060253,667.7530931973602,684.6165161132812,1459747,0.0,,0.0
2024-12-23,ASML.AS,678.9289209379253,688.2088010826293,676.8334248386753,682.321533203125,527957,0.0,,0.0
2024-12-24,ASML.AS,688.6078687210878,689.3063673894195,684.2174187689241,687.0113525390625,116531,0.0,,0.0
2024-12-27,ASML.AS,679.6273567805808,694.0960060634424,678.5297594721229,683.419189453125,532668,0.0,,0.0
2024-12-30,ASML.AS,683.419157478592,683.5189169008058,667.0545926250929,670.447265625,433466,0.0,,0.0
2024-12-31,ASML.AS,666.9548265294035,677.831222278982,666.9548265294035,677.2325439453125,166093,0.0,,0.0
2025-01-02,ASML.AS,673.5405499002209,689.60571495138,669.2498593185313,688.5081176757812,446335,0.0,,0.0
2025-01-03,ASML.AS,688.5081269020258,689.9051242744074,676.0351535885833,686.512451171875,442214,0.0,,0.0
2025-01-06,ASML.AS,702.2782416327336,746.3826852122784,700.0829862602955,746.18310546875,1120484,0.0,,0.0
2025-01-07,ASML.AS,745.2850882225285,750.2742772964425,728.8207642786128,736.803466796875,836999,0.0,,0.0
2025-01-08,ASML.AS,737.3024170102261,742.7905252245572,716.6471611865604,722.7339477539062,569713,0.0,,0.0
2025-01-09,ASML.AS,715.8489076732718,732.313232421875,711.5581561374476,732.313232421875,385785,0.0,,0.0
2025-01-10,ASML.AS,728.6211801123129,732.7122907668146,716.3477872456212,723.7317504882812,607599,0.0,,0.0
2025-01-13,ASML.AS,713.1547020911615,714.6514588210703,697.6882158821044,709.9616088867188,589104,0.0,,0.0
2025-01-14,ASML.AS,712.9551535911529,725.2285471336376,705.5711290387299,711.1590576171875,711884,0.0,,0.0
2025-01-15,ASML.AS,704.9724506818047,719.9400186368324,703.9746128181363,711.1590576171875,855094,0.0,,0.0
2025-01-16,ASML.AS,738.3999815273265,745.7840057038745,727.5235250057168,743.788330078125,968229,0.0,,0.0
2025-01-17,ASML.AS,733.0116826626969,747.6799116868586,729.2199108973902,737.501953125,942715,0.0,,0.0
2025-01-20,ASML.AS,741.0941621567456,746.8816093404025,733.4107987510966,746.3826904296875,434335,0.0,,0.0
2025-01-21,ASML.AS,745.0855363904434,748.1788093708717,725.9270374482838,730.8164672851562,612520,0.0,,0.0
2025-01-22,ASML.AS,736.7036840077037,751.2721533876914,732.4129933661693,746.4824829101562,712118,0.0,,0.0
2025-01-23,ASML.AS,726.4259711292528,732.8121578740829,705.7707149893076,713.75341796875,976826,0.0,,0.0
2025-01-24,ASML.AS,710.7598923215999,721.8359290600246,697.0895015200429,699.1849975585938,815267,0.0,,0.0
2025-01-27,ASML.AS,645.6010714499148,656.3777077571584,617.1626934957841,650.1911010742188,2074064,0.0,,0.0
2025-01-28,ASML.AS,658.273616164215,658.3733755840505,637.1194423882285,645.201904296875,1246359,0.0,,0.0
2025-01-29,ASML.AS,713.454084123884,720.5387087098518,679.4278367807905,681.0243530273438,1619804,0.0,,0.0
2025-01-30,ASML.AS,693.7966216014357,714.950795490947,686.6121771423129,705.1719970703125,1215506,0.0,,0.0
2025-01-31,ASML.AS,711.4583512974763,728.2220141544234,710.7598526569398,721.1373901367188,938233,0.0,,0.0
2025-02-03,ASML.AS,693.4973040155955,710.1612082495577,690.1046309728048,708.3651123046875,1009983,0.0,,0.0
2025-02-04,ASML.AS,711.2587787578527,715.5494691600373,701.1806412385455,710.8596801757812,673080,0.0,,0.0
2025-02-05,ASML.AS,700.8813517865054,707.5668168648483,692.1003297135228,704.5733032226562,589980,0.0,,0.0
2025-02-06,ASML.AS,708.4648894255075,713.75341796875,703.8748595736043,713.75341796875,730446,0.0,,0.0
2025-02-07,ASML.AS,712.7555355417355,714.7512111618458,699.5840642683706,701.47998046875,676631,0.0,,0.0
2025-02-10,ASML.AS,708.4000244140625,719.2999877929688,706.2999877929688,717.0,705973,1.52,,0.0
2025-02-11,ASML.AS,716.2000122070312,726.7000122070312,715.5999755859375,723.5999755859375,560372,0.0,,0.0
2025-02-12,ASML.AS,724.0999755859375,725.7999877929688,707.5999755859375,718.4000244140625,699310,0.0,,0.0
2025-02-13,ASML.AS,728.0,738.5,718.9000244140625,737.9000244140625,775991,0.0,,0.0
2025-02-14,ASML.AS,740.2000122070312,744.9000244140625,729.2999877929688,732.2000122070312,759158,0.0,,0.0
2025-02-17,ASML.AS,726.0,730.2999877929688,718.5999755859375,727.7999877929688,445320,0.0,,0.0
2025-02-18,ASML.AS,727.9000244140625,730.7000122070312,714.7999877929688,716.2000122070312,678430,0.0,,0.0
2025-02-19,ASML.AS,713.5,721.0,709.9000244140625,717.5,683919,0.0,,0.0
2025-02-20,ASML.AS,709.5999755859375,723.2000122070312,707.5,709.9000244140625,665740,0.0,,0.0
2025-02-21,ASML.AS,710.7000122070312,718.2000122070312,702.7999877929688,710.0999755859375,748403,0.0,,0.0
2025-02-24,ASML.AS,709.7000122070312,715.7000122070312,702.4000244140625,713.5,569212,0.0,,0.0
2025-02-25,ASML.AS,696.0,705.0999755859375,688.0999755859375,697.7999877929688,896194,0.0,,0.0
2025-02-26,ASML.AS,701.9000244140625,715.9000244140625,698.4000244140625,714.5,667549,0.0,,0.0
2025-02-27,ASML.AS,709.0999755859375,715.0999755859375,697.2999877929688,699.0999755859375,768323,0.0,,0.0
2025-02-28,ASML.AS,675.0,686.5,670.0,678.5999755859375,1972948,0.0,,0.0
2025-03-03,ASML.AS,679.0,698.2999877929688,676.4000244140625,690.2999877929688,882978,0.0,,0.0
2025-03-04,ASML.AS,673.0,680.0,657.7000122070312,660.5,1074324,0.0,,0.0
2025-03-05,ASML.AS,673.7000122070312,683.5999755859375,672.7000122070312,672.7000122070312,915005,0.0,,0.0
2025-03-06,ASML.AS,677.9000244140625,680.7999877929688,658.0999755859375,670.0,755847,0.0,,0.0
2025-03-07,ASML.AS,670.7999877929688,677.2000122070312,662.7999877929688,666.0,746863,0.0,,0.0
2025-03-10,ASML.AS,670.0999755859375,673.0,628.5999755859375,639.0,1198808,0.0,,0.0
2025-03-11,ASML.AS,641.7000122070312,649.5,624.2000122070312,632.0,1041466,0.0,,0.0
